segment,Precio_avg_count,Precio_avg_mean,Precio_avg_std,Precio_avg_min,Precio_avg_25%,Precio_avg_50%,Precio_avg_75%,Precio_avg_max,CPU_perf_count,CPU_perf_mean,CPU_perf_std,CPU_perf_min,CPU_perf_25%,CPU_perf_50%,CPU_perf_75%,CPU_perf_max,log_RAM_GB_count,log_RAM_GB_mean,log_RAM_GB_std,log_RAM_GB_min,log_RAM_GB_25%,log_RAM_GB_50%,log_RAM_GB_75%,log_RAM_GB_max,ppi_count,ppi_mean,ppi_std,ppi_min,ppi_25%,ppi_50%,ppi_75%,ppi_max,log_SSD_GB_count,log_SSD_GB_mean,log_SSD_GB_std,log_SSD_GB_min,log_SSD_GB_25%,log_SSD_GB_50%,log_SSD_GB_75%,log_SSD_GB_max
Budget,742.0,2592.062452830189,1591.0872647699346,784.77,1568.55375,2101.0625,3139.7200000000003,13158.52,742.0,43.48463611859839,14.573032831219459,20.0,30.4,40.8,60.8,78.0,742.0,3.2314479997247947,0.39300796801755655,2.1972245773362196,2.833213344056216,3.49650756146648,3.49650756146648,4.859812404361672,742.0,179.861486611478,32.10076108587799,101.98644305936566,161.72539083525606,177.58082130930077,188.67962264113208,283.0194339616981,742.0,6.805127557800608,0.4237728513594039,5.54907608489522,6.240275845170769,6.90875477931522,6.90875477931522,8.294299608857235
High-End,560.0,2069.629625,1172.5725534552205,227.745,1280.78625,1799.0575,2494.185,10010.43,560.0,15.072803571428572,8.840592636946802,0.85,9.0,12.0,22.4,50.4,560.0,2.8963184430414746,0.4395119041029662,2.1972245773362196,2.833213344056216,2.833213344056216,3.218875824868201,4.174387269895637,560.0,232.31376507056902,26.51377541768069,187.50769951913745,215.6338544470081,224.5056083176765,253.93034266273992,323.45078167051213,560.0,6.371954865478344,0.49573271167683064,4.859812404361672,6.240275845170769,6.240275845170769,6.90875477931522,7.601402334583733
Mid-Range,4379.0,1075.6082176295959,812.9166224412426,88.73,599.9,853.615,1272.6799999999998,10010.43,4379.0,7.860398580954556,5.969352013816172,0.002,2.4,9.0,9.6,43.2,4379.0,2.6036728660032913,0.3477333455359383,0.4054651081081644,2.1972245773362196,2.833213344056216,2.833213344056216,3.49650756146648,4379.0,143.3345444551449,9.341537085626651,100.45466986113652,141.21199808219862,141.21199808219862,141.21199808219862,200.84255993695703,4379.0,6.041647719355179,0.4519551036674219,2.1972245773362196,6.2166061010848646,6.240275845170769,6.240275845170769,7.136483208590247
Ultra-Premium,2368.0,1838.1285409628376,1389.4468819544084,175.99,1051.8625,1529.8525,2187.955,20579.9,2368.0,5.01749679054054,7.745906196036253,0.0048,0.0224,0.0432,9.0,32.0,2368.0,3.2897128475482944,0.4050433173388021,2.1972245773362196,2.833213344056216,3.49650756146648,3.49650756146648,5.54907608489522,2368.0,141.7069421096721,6.17285036107934,106.11306214269258,141.21199808219862,141.21199808219862,141.21199808219862,200.30840419244385,2368.0,6.992269385823146,0.3186920274158034,6.175867270105761,6.90875477931522,6.90875477931522,6.90875477931522,8.987321812850125
