parse_candidates
Título
Precio_Rango
Ofertas
Tipo de producto
Serie
Procesador_Procesador
Disco duro_Tipo de disco duro
Comunicaciones_Versión Bluetooth
Medidas y peso_Profundidad
Medidas y peso_Ancho
Medidas y peso_Peso
Procesador_Tipo de procesador
Gráfica_Memoria gráfica
Sistema operativo_Sistema operativo
Procesador_Nombre en clave del procesador
Procesador_Caché
RAM_Memoria RAM
RAM_Tipo de RAM
Disco duro_Capacidad de memoria SSD
Procesador_Número de núcleos del procesador
Procesador_Frecuencia de reloj
Procesador_Frecuencia turbo máx.
Gráfica_Tarjeta gráfica
Alimentación_Capacidad de la batería
Pantalla_Tamaño de la pantalla
Pantalla_Resolución de pantalla
Alimentación_Autonomía de la batería
Procesador_Frecuencia del reloj
RAM_Frecuencia de la memoria
